Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
17,19734085,2,2,111,242,56,55,55.5,0.70710677,127,115,121.0,8.485281,17.88783214,0.202694982,6.5780285e+06,1.13e+07,19700000,30439,19700000,1.97e+07,0.0,19700000,19700000,19700000,1.97e+07,0.0,19700000,19700000,0,0,0,0,52,40,0.10134749,0.10134749,55,127,81.8,36.03748,1298.7,0,0,0,0,0,0,0,0,1,102.25,55.5,121.0,0,0,0,0,0,0,2,111,2,242,-1,-1,1,20,30439.0,0.0,30439,30439,1.97e+07,0.0,19700000,19700000
17,80691,2,2,70,174,35,35,35.0,0.0,87,87,87.0,0.0,3023.881226,49.57182338,26897.0,46582.64,80686,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,0,0,0,0,64,40,24.785912,24.785912,35,87,55.8,28.481573,811.2,0,0,0,0,0,0,0,0,1,69.75,35.0,87.0,0,0,0,0,0,0,2,70,2,174,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
17,130,2,2,104,352,52,52,52.0,0.0,176,176,176.0,0.0,3507692.308,30769.23077,43.333332,73.32349,128,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,15384.615,15384.615,52,176,101.6,67.917595,4612.8,0,0,0,0,0,0,0,0,1,127.0,52.0,176.0,0,0,0,0,0,0,2,104,2,352,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
6,31086,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,386.0258637,64.33764396,31086.0,0.0,31086,31086,31086,31086.0,0.0,31086,31086,0,0.0,0.0,0,0,0,0,0,0,40,0,64.33765,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
6,99537776,5,7,427,11595,415,0,85.4,184.27643,7240,0,1656.4286,2566.8853,120.7782661,0.120557245,9.048889e+06,3e+07,99400000,40,99400000,2.49e+07,4.97e+07,99400000,55,99500000,1.66e+07,4.06e+07,99400000,89,0,0,0,0,144,232,0.050232183,0.07032506,0,7240,925.2308,1995.4813,3.9819455e+06,1,0,0,0,0,0,0,0,1,1002.3333,85.4,1656.4286,0,0,0,0,0,0,5,427,7,11595,0,235,2,20,13941.0,0.0,13941,13941,9.94e+07,0.0,99400000,99400000
17,186,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,494623.6559,21505.37634,62.0,65.47519,133,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,64,64,10752.688,10752.688,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
17,747727,4,4,150,214,40,35,37.5,2.8867514,56,51,53.5,2.8867514,486.8086882,10.69909205,106818.14,282447.12,747348,1,747547,249182.33,431554.03,747498,1,747533,249177.67,431543.34,747481,4,0,0,0,0,80,80,5.349546,5.349546,35,56,44.333332,9.082951,82.5,0,0,0,0,0,0,0,0,1,49.875,37.5,53.5,0,0,0,0,0,0,4,150,4,214,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
17,24036,1,1,43,87,43,43,43.0,0.0,87,87,87.0,0.0,5408.5538359128,83.2085205525046,24036.0,0.0,24036,24036,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,40,41.60426,41.60426,43,87,57.666668,25.403412,645.3333,0,0,0,0,0,0,0,0,1,86.5,43.0,87.0,0,0,0,0,0,0,1,43,1,87,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
6,64,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15625.0,15625.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1039,357,0,32,0.0,0.0,0,0,0.0,0.0,0,0
17,48402,1,1,56,127,56,56,56.0,0.0,127,127,127.0,0.0,3780.835503,41.32060659,48402.0,0.0,48402,48402,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.660303,20.660303,56,127,79.666664,40.99187,1680.3334,0,0,0,0,0,0,0,0,1,119.5,56.0,127.0,0,0,0,0,0,0,1,56,1,127,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
