Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
17,282,2,2,74,106,37,37,37.0,0.0,53,53,53.0,0.0,638297.8723,14184.39716,94.0,122.28246,233,3,46,46.0,0.0,46,46,3,3.0,0.0,3,3,0,0,0,0,64,64,7092.1987,7092.1987,37,53,43.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,54.25,37.0,53.0,0,0,0,0,0,0,2,74,2,106,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
17,469,4,4,92,92,23,23,23.0,0.0,23,23,23.0,0.0,392324.0938,17057.5693,67.0,83.58828,246,0,345,115.0,157.72127,295,1,222,74.0,89.16838,173,0,0,0,0,0,128,128,8528.784,8528.784,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,25.875,23.0,23.0,0,0,0,0,0,0,4,92,4,92,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0
17,606619,2,2,52,226,26,26,26.0,0.0,113,113,113.0,0.0,458.2777658,6.593924687,202206.33,350229.03,606616,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,64,64,3.2969623,3.2969623,26,113,60.8,47.651863,2270.7,0,0,0,0,0,0,0,0,1,76.0,26.0,113.0,0,0,0,0,0,0,2,52,2,226,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
6,195,3,0,53,0,53,0,17.666666,30.599564,0,0,0.0,0.0,271794.8718,15384.61538,97.5,70.00357,147,48,195,97.5,70.00357,147,48,0,0.0,0.0,0,0,0,0,0,0,60,0,15384.615,0.0,0,53,13.25,26.5,702.25,0,0,0,0,1,0,0,0,0,17.666666,17.666666,0.0,0,0,0,0,0,0,3,53,0,0,64860,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
17,62759,1,1,48,188,48,48,48.0,0.0,188,188,188.0,0.0,3760.416833,31.86793926,62759.0,0.0,62759,62759,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,15.9339695,15.9339695,48,188,94.666664,80.82904,6533.3335,0,0,0,0,0,0,0,0,1,142.0,48.0,188.0,0,0,0,0,0,0,1,48,1,188,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
17,39641336,2,2,93,109,50,43,46.5,4.9497476,66,43,54.5,16.263456,5.09569102312798,0.100904772735208,1.3213779e+07,2.2609e+07,39319970,30566,39350536,3.9350536e+07,0.0,39350536,39350536,39610770,3.961077e+07,0.0,39610770,39610770,0,0,0,0,52,52,0.050452385,0.050452385,43,66,50.4,9.396808,88.3,0,0,0,0,0,0,0,0,1,63.0,46.5,54.5,0,0,0,0,0,0,2,93,2,109,-1,-1,1,20,30566.0,0.0,30566,30566,3.931997e+07,0.0,39319970,39319970
17,49197,2,2,60,238,30,30,30.0,0.0,119,119,119.0,0.0,6057.279915,81.30577068,16399.0,28359.742,49146,4,47,47.0,0.0,47,47,4,4.0,0.0,4,4,0,0,0,0,80,64,40.652885,40.652885,30,119,65.6,48.747307,2376.3,0,0,0,0,0,0,0,0,1,82.0,30.0,119.0,0,0,0,0,0,0,2,60,2,238,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
6,6146773,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,5.856731654,0.976121942,1.2293546e+06,2.7466572e+06,6142724,3,0,0.0,0.0,0,0,6144837,1.5362092e+06,3.07101e+06,6142724,3,0,0,0,0,20,100,0.16268699,0.81343496,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,0,0,0,0,0,0,1,6,5,30,229,0,0,20,4049.0,0.0,4049,4049,6.142724e+06,0.0,6142724,6142724
6,118302795,104,159,6934,249122,708,0,66.67308,170.38434,4344,0,1566.805,953.9362,2164.412092,2.22310893,451537.38,2.0538818e+06,10200000,0,118000000,1.1485709e+06,3.1677005e+06,10200000,4,116000000,733016.25,2.6089775e+06,10200000,2,0,0,0,0,3336,5096,0.8791001,1.3440088,0,4344,969.9091,1048.6387,1.0996431e+06,0,0,0,1,0,0,0,0,1,973.597,66.67308,1566.805,0,0,0,0,0,0,104,6934,159,249122,29200,1400,16,32,314167.62,965685.9,3225820,22865,1.02e+07,7990.111,10200000,10200000
17,85454,2,2,86,242,43,43,43.0,0.0,121,121,121.0,0.0,3838.322372,46.80880942,28484.666,49330.83,85447,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,23.404406,23.404406,43,121,74.2,42.72236,1825.2,0,0,0,0,0,0,0,0,1,92.75,43.0,121.0,0,0,0,0,0,0,2,86,2,242,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
